序号,题目,答案,正确答案
201,马克思主义哲学和具体科学的关系是,A、 主要矛盾和次要矛盾的关系  B、 整体和部分的关系  C、 一般和个别的关系  D、 理论和实际的关系  ,正确答案： C
202,现代科技革命的成果对马克思主义哲学的影响是,A、 使马克思主义哲学越来越不适应现时代  B、 深化和拓展了马克思主义哲学宇宙观  C、 证明马克思主义哲学是绝对真理的体系  D、 对马克思主义哲学时基本原理作了否证  ,正确答案： B
203,学习马克思主义哲学的根本方法是,A、 从个别到一般的方法  B、 向社会实践学习的方法  C、 理论联系实际的方法  D、 逻辑推理的方法  ,正确答案： C
204,马列主义、毛泽东思想、邓小平理论的精髓是,A、对立统一规律 B、实事求是 C、能动的革命的反映论 D、为人民服务 ,正确答案： B
205,马克思主义哲学对唯心主义哲学的科学态度是,A、坚决批判、彻底否认 B、避而远之，不闻不问 C、弃其槽粕、取其精华 D、有用则取之，无用则舍之 ,正确答案： C
206,现代西方哲学人本主义思潮发端于,A、 黑格尔  B、 尼采、叔本华  C、 萨特  D、 费尔巴哈  ,正确答案： B
207,马克思主义哲学按其本性来说是,A、 运动的、发展的  B、 批判的、革命的  C、 科学的、真理的  D、 实践的、客观的  ,正确答案： B
208,马克思主义在中国传播最早的代表人物是,A、 李大钊  B、 陈独秀  C、 毛泽东  D、 周恩来  ,正确答案： A
209,事物发展呈现岀波浪式前进的总趋势，说明了事物发展的（    ）,A、对立统一规律 B、否定之否定规律 C、质量互变规律 D、历史发展必然性与偶然性的统一 ,正确答案： B
210,中国古代哲学家荀子说：“天行有常，不为尧存，不为桀亡。”这句话体现的哲学道理是,A、物质运动规律具有普遍性 B、物质运动规律具有重复性 C、物质运动规律具有稳定性 D、物质运动规律具有客观性 ,正确答案： D
211,物质无非是各种物的总和，是从这种总和抽象出来的。这种观点属于,A、辩证唯物主义物质观 B、形而上学唯物主义物质观 C、庸俗唯物主义物质观 D、朴素唯物主义物质观 ,正确答案： A
212,运动是物质的存在方式。这是对运动的,A、 唯心主义理解  B、 直观唯物主义理解  C、 辩证唯物主义理解  D、 庸俗唯物主义理解  ,正确答案： C
213,在物质和运动关系问题上，形而上学唯物主义的错误是,A、 夸大运动的绝对性  B、 设想无物质的运动  C、 否认静止的存在  D、 设想无运动的物质  ,正确答案： D
214,在物质和运动关系问题上，唯心主义哲学的错误是,A、 设想无物质的运动  B、 否认运动的存在  C、 否认静止的存在  D、 设想无运动的物质  ,正确答案： A
215,运动和静止的关系是,A、 现象和本质的关系  B、 一般和个别的关系  C、 绝对和相对的关系  D、 抽象和具体的关系  ,正确答案： C
216,时间和空间,A、同物质运动无关 B、是一种先验的形式 C、是运动着的物质的存在方式 D、是运动着的物质本身 ,正确答案： C
217,从动物心理发展到人的意识的决定性环节是,A、 手脚分工  B、 语言的产生  C、 社会的出现  D、 劳动  ,正确答案： D
218,意识是人脑的机能，表现（     ）,A、 人脑是意识的源泉  B、 意识是人脑自生的  C、 意识是人脑的分泌物  D、 人脑是产生意识的物质器官  ,正确答案： D
219,假定一切物质都具有在本质上跟感觉相近的特性，反映的特性。这种观点是（   ）,A、辩证唯物主义观点 B、主观唯心主义观点 C、朴素唯物主义观点 D、客观唯心主义观点 ,正确答案： A
220,“观念的东西不外是移入人脑并在人的头脑中改造过的物质的东西而已。”这种观念是（  ）,A、客观唯心主义观点 B、朴素唯物主义观点 C、唯意志主义观点 D、辩证唯物主义观点 ,正确答案： D
221,列宁关于“人的意识不仅反映客观世界，而且创造客观世界”的说法（   ）,A、 夸大了意识的作用  B、 正确地指出了意识的能动作用  C、 具有唯意志主义的倾向  D、 是主观唯心主义的表现  ,正确答案： B
222,唯心主义的一元论主张世界万物的本原是,A、精神 B、某种实物 C、原初的物质 D、原子 ,正确答案： A
223,世界的统一性在于它的（  ）,A、 存在性  B、 运动型  C、 物质性  D、 可知性  ,正确答案： C
224,意识能动性实现的根本途径是（,A、 社会实践  B、 主观势力  C、 客观规律  D、 先进的物质手段  ,正确答案： A
225,正确发挥意识能动作用的客观前提是（  ）,A、 个人积极性的发挥  B、 集体智慧的调动  C、 解放思想  D、 对客观规律的正确反映  ,正确答案： D
226,哲学物质范畴同自然科学的物质结构理论的关系是（  ）,A、 整体与部分的关系  B、 一般与个别的关系  C、 哲学物质范畴可以取代自然科学物质结构理论  D、 全局与局部的关系  ,正确答案： B
227,形而上学唯物主义物质观的错误在于,A、 没有自然科学的依据  B、 不懂得一般和个别的辩证关系  C、 否认了物质的客观性  D、 是对物质的自发猜测  ,正确答案： B
228,承认客观实在性是物质的唯一特性的哲学是（  ）,A、 朴素唯物主义  B、 形而上学唯物主义  C、 辩证唯物主义  D、 庸俗唯物主义  ,正确答案： C
229,首先提出物质是世界本原的哲学派别（  ）,A、形而上学唯物主义 B、朴素唯物主义 C、辩证唯物主义 D、庸俗唯物主义 ,正确答案： B
230,运动是物质的（  ）,A、 唯一特性  B、 根本属性  C、 外部现象  D、 内部本质  ,正确答案： B
231,设想脱离物质的运动会导致（  ）,A、 形而上学  B、 机械唯物论  C、 唯心主义  D、 二元论  ,正确答案： C
232,在世界是否具有同一性的问题上存在着（  ）,A、 可知论与不可知论的对立  B、 唯物论和唯心论的对立  C、 辩证法和形而上学的对立  D、 唯理论和经验论的对立  ,正确答案： A
233,时间具有一维性，这是指它的（  ）,A、 可变性  B、 无限性  C、 不可逆性  D、 连续性  ,正确答案： C
234,意识对物质的反作用，突出地表现为意识能（  ）,A、 创造物质  B、 自由地创造和运用规律  C、 改造客观世界  D、 决定物质的状态  ,正确答案： C
235,认为一切物质都具有在本质上与感觉相近的反映特性，这是一种（  ）,A、 辩证唯物主义的观点  B、 形而上学的观点  C、 唯心主义的观点  D、 诡辩论的观点  ,正确答案： A
236,语言是意识的物质外壳，没有语言就不会有思维和意识，这种观点属于（  ）,A、 唯心主义  B、 形而上学  C、 历史唯心主义  D、 马克思主义哲学  ,正确答案： D
237,意识的本质是（    ）,A、在外界刺激下人脑分泌的特殊物质 B、人脑的机能和对客观存在的反映 C、人脑纯粹的主观想象 D、在内外刺激作用下人脑发生的生理变化过程 ,正确答案： B
238,“狼孩”没有意识，这一事实说明,A、 意识是生物界长期发展的产物  B、 意识是社会的产物  C、 意识是人脑发展的产物  D、 意识是对客观世界的反映  ,正确答案： B
239,“意识是人脑分泌的特殊物质，”这是（  ）,A、 辩证唯物主义的观点  B、 机械唯物主义的观点  C、 朴素唯物主义的观点  D、 庸俗唯物主义的观点  ,正确答案： D
240,人工智能的出现和发展证明（  ）,A、 意识不是人类所特有的现象  B、 物质是意识产生的基础  C、 对人脑机能的认识已经完成  D、 及其四位最终会超过人类思维  ,正确答案： B
241,物质运动最终高级的形式是（  ）,A、 化学运动  B、 物理运动  C、 生物运动  D、 社会运动  ,正确答案： D
242,“动中有静，静中有动”说明（  ）,A、 物质和运动的统一  B、 绝对运动和相对静止的统一  C、 有限性和无限性的统一  D、 唯物主义和辩证法的统一  ,正确答案： B
243,把静止绝对化的观点是（   ）,A、 唯物主义的观点  B、 唯心主义的观点  C、 形而上学的观点  D、 辩证法的观点  ,正确答案： C
244,古希腊哲学家克拉底鲁指出，万物瞬息万变，不可捉摸，人连一次也不能踏 进同一条河流。这是一种（  ）,A、 唯心主义的观点  B、 形而上学的观点  C、 相对主义诡辩论的观点  D、 庸俗进化论的观点  ,正确答案： C
245,能够证明时间、空间的绝对性和相对性相统一的自然科学理论是（  ）,A、 电磁场理论  B、 原子结构学说  C、 牛顿力学理论  D、 相对论  ,正确答案： D
246,爱因斯坦的相对论揭示了（   ）,A、 时间和空间的无限性  B、 时间和空间的有限性  C、 时间和空间的连续性  D、 时间和空间的相对性  ,正确答案： D
247,古诗说“王子去求仙，丹成入九天，洞中方七日，世上已千年”。这是用神 话形式说明时间（  ）,A、 是有限的  B、 是客观的  C、 是相对的  D、 是可知的  ,正确答案： C
248,“机不可失，时不再来”指的是（ ）,A、时间的连续性 B、时间的一维性 C、时间的顺序性 D、时间的重复性 ,正确答案： B
249,马克思主义哲学大厦的基石是（ ）,A、 世界是联系和发展的原理  B、 世界统一于心灵的原理  C、 世界统一于物质的原理  D、 世界统一于精神的原理  ,正确答案： C
250,唯物主义哲学的基石是（  ）,A、 历史范畴  B、 经济范畴  C、 物质范畴  D、 阶级范畴  ,正确答案： C
251,“心有多大，舞台就有多大。”这是（ ）,A、主张充分发挥意识能动作用的观点 B、主观唯心主义的观点 C、客观唯心主义的观点 D、朴素唯物主义的观点 ,正确答案： B
252,人类社会生存和发展的重要条件是（  ）,A、生产方式 B、自然地理环境 C、生产力 D、人口因素 ,正确答案： D
253,结合所学知识并思考，通过塞罕坝林场荣获“地球卫士奖”以及我们正在面临的“新冠疫情”案例，你认为人类与自然的关系是？（  ）,A、 人可以改变规律  B、 人可以创造规律  C、 人可以消灭规律  D、 人可以认识和利用规律  ,正确答案： D
254,时间和空间“离开了物质，当然都是无，都只是在我们头脑中存在地空洞的 观念、抽象。”这段话说明（  ）,A、时间和空间是人脑中自生的概念 B、时间和空间是物质存在的形式 C、时间和空间是相对和绝对的统一 D、时间和空间具有客观性 ,正确答案： D
255,因为物质和运动是不可分割的，所以（  ）,A、没有运动就没有物质 B、没有物质就没有运动 C、没有不运动的物质，也没有脱离物质的运动 D、运动是无限的，静止是有限的 ,正确答案： C
256,结合教学案例“任其挣扎”和所学知识，你认为以下选项中正确的是：,A、 人在客观规律面前是无能为力的  B、 人只要主观能动性强就可以改变客观规律  C、 正确发挥主观能动性的前提是对客观规律的正确反映  D、 人类终究不能认识和利用自然规律  ,正确答案： C
257,客观实在性是（  ）,A、 运动的唯一特性  B、 物质的唯一特性  C、 存在的唯一特性  D、 意识的唯一特性  ,正确答案： B
258,认为一切物质都具有在本质上跟感觉相近的反映特性，这是（  ）,A、合乎逻辑的 B、唯心论 C、形而上学 D、诡辩论 ,正确答案： A
259,合抱之木，生于毫末；九层之台，起于垒土；千里之行，始于足下说明了（  ）,A、量变是质量的必要准备 B、质量互变是相互渗透的 C、质变是量变的必然结果 D、质变和量变是相互贯通的 ,正确答案： A
260,久旱缺雨时，下雨对庄稼生长有益；雨涝成灾时，下雨对庄稼生长有害。这说明（  ）,A、事物的联系是普遍的、无条件的 B、事物的联系是现实的、具体的 C、事物的运动是客观的、绝对的 D、事物发展的根本原因是事物的内部矛盾 ,正确答案： B
261,“朝为田舍郎，暮登天子堂”这句话说明了（  ）,A、人的本质特征：社会性 B、人的本质特征：发展性 C、人的本质特征：客观性 D、人的本质特征：具体性 ,正确答案： B
262,“割下来的手就不再是人手”这句话体现了（  ）,A、 形而上学片面的、孤立的观点  B、 辩证法普遍联系的观点  C、 唯心主义的观点  D、 诡辩论的观点  ,正确答案： B
263,事物的联系和运动的关系是(     ）,A、 先有联系、后有运动  B、 先有运动、后有联系  C、 运动构成联系  D、 联系构成运动  ,正确答案： D
264,联系的客观性和普遍性原理的方法论意义在于（  ）,A、要求我们用联系的观点看世界 B、它是认识事物本质的基础 C、它是科学分门别类的客观依据 D、它是正确区分不同事物的基础 ,正确答案： A
265,唯物辩证法认为发展的实质是（  ）,A、事物数量的增加 B、事物根本性质的变化 C、事物的一切运动变化 D、新事物的产生和旧事物的灭亡 ,正确答案： D
266,“世界不是既成事物的集合体，而是过程的集合体。”这句话是一种（  ）,A、 唯物辩证法的观点  B、 唯心主义的观点  C、 形而上学的观点  D、 相对主义的观点  ,正确答案： A
267,两种对立的发展观是（  ）,A、唯物主义和唯心主义的对立 B、唯物辩证法和形而上学的对立 C、可知论和不可知论的对立 D、唯物史观和唯心史观的对立 ,正确答案： B
268,质量互变规律揭示了（  ）,A、事物发展的动力和源泉 B、事物发展的状态和形式 C、事物发展的方向和道路 D、事物发展的两种趋势 ,正确答案： B
269,质和事物的存在是（  ）,A、 相互对立的  B、 相互包含的  C、 直接同一的  D、 相互转化的  ,正确答案： C
270,事物的质是指,A、构成事物内在要素的总和 B、组成事物基本要素的内在联系 C、一事物区别于其他事物的内在规定性 D、事物的规模、发展程度和速度等规定性 ,正确答案： C
271,区分同质事物的差别依据是（  ）,A、事物的度 B、事物质的规定性 C、事物量的规定性 D、事物的特殊矛盾 ,正确答案： C
272,面对消极腐败的东西，我们一定要提高警惕，做到见微知著，防微杜渐。因为（  ）,A、量变积累到一定程度必然引起质变 B、原因必然引起结果 C、外因通过内因而起作用 D、矛盾双方在一定条件下相互转化 ,正确答案： A
273,在实际工作中，要注意掌握分寸，防止“过”或“不及”，其关键在于（  ）,A、认识事物的量 B、把握事物的度 C、确定事物的质 D、抓住事物的主要矛盾 ,正确答案： B
274,区分量变和质变的根本标志是看,A、 事物的变化是否显著  B、 事物的变化是否迅速  C、 事物的某些属性是否发生了变化  D、 事物的变化是否超出度的范围  ,正确答案： D
275,量变的复杂性是指（  ）,A、 量变的程度发展不同  B、 量变形式的多样性和总的量变过程中有部分质变  C、 质变中有量的扩张  D、 量变有在度的范围内的变化和突破度的范围的变化  ,正确答案： B
276,阶段性部分质变表现了（  ）,A、 事物内部各部分之间变化的不平衡性  B、 事物整体与某些构成部分之间变化的不平衡性  C、 事物与事物之间变化的不平衡性  D、 事物的本质属性与非本质属性之间变化的不平衡性  ,正确答案： D
277,“肯定和否定相互渗透，在一定意义上，肯定就是否定。”这是一种（  ）,A、相对主义诡辩论的观点 B、唯物辩证法的观点 C、主观唯心主义的观点 D、形而上学的观点 ,正确答案： B
278,庄子说：“是亦彼也，彼亦是也。”这是一种（  ）,A、唯物主义观点 B、唯心主义观点 C、形而上学观点 D、相对主义观点 ,正确答案： D
279,作为辩证的否定的“扬弃”是（  ）,A、 既保留又继承  B、 彻底抛弃  C、 既克服又保留  D、 矛盾的调和  ,正确答案： C
280,否定之否定规律（  ）,A、在事物完成一个发展周期时才能完整地表现出来 B、在事物发展过程中任何一点上都可以表现出来 C、在事物经过量变和质变两种状态后表现出来 D、在事物发展过程中经过肯定和否定两个阶段表现出来 ,正确答案： A
281,事物发展的周期性体现了（  ），而不是直线论和循环轮。,A、事物发展的直线性与曲折性的统一 B、事物发展是一个不断地回到出发点的运动 C、事物发展的周而复始的循环性 D、事物发展的前进性和曲折性的统一 ,正确答案： D
282,直线论的错误在于只看到（  ）,A、 事物发展的周期性而否认了前进性  B、 事物发展的前进性而否认了曲折性  C、 事物发展的间接性而否认了连续性  D、 事物发展的曲折性而否认了周期性  ,正确答案： B
283,循环论的错误在于（  ）,A、 只看到事物发展的普遍性，没有看到事物发展过程的特殊性  B、 只看到事物的绝对运动，没有看到事物的相对静止  C、 只看到事物发展道路的曲折性，没有看到事物发展趋势的前进性  D、 只看到新旧事物之间的连续性，没有看到新旧事物之间的间断性  ,正确答案： C
284,矛盾的斗争性是一个广泛的哲学范畴，它的含义是（  ）,A、对立面双方相互依存的性质 B、对立面双方相互贯通的性质 C、对立面双方相互转化的性质 D、对立面双方相互离异、相互排斥的性质 ,正确答案： D
285,依据唯物辩证法关于内因、外因相互关系原理制定的方针政策是（  ）,A、 既坚持四项基本原则，又坚持改革  B、 既坚持物质文明，又坚持精神文明  C、 既坚持独立自主、自力更生，又坚持对外开放  D、 既抓经济建设，又抓阶级斗争  ,正确答案： C
286,矛盾问题的精髓是（  ）,A、 矛盾的普遍性和特殊性关系的问题  B、 矛盾的同一性和斗争性关系的问题  C、 主要矛盾和次要矛盾关系的问题  D、 矛盾的主要方面和次要方面关系的问题  ,正确答案： A
287,“任何个别（无论怎样）都是一般”。这句话的正确含义是（  ）,A、特殊性就是普遍性 B、特殊性存在于普遍性之中 C、普遍性是特殊性的总和 D、特殊性中包含普遍性 ,正确答案： D
288,辩证法和形而上学的根本分歧在于是否承认（  ）,A、 事物是客观存在的  B、 事物是普遍联系的  C、 事物是运动发展的  D、 矛盾是事物发展的动力  ,正确答案： D
289,两条根本对立的认识路线是（  ）,A、 可知论与不可知论的对立  B、 辩证法与形而上学的对立  C、 唯物主义反映论与唯心主义先验论的对立  D、 能动革命的反映论与直观被动的反映论的对立  ,正确答案： C
290,驳斥不可知论最有力的论据是（  ）,A、 社会实践可以证明人们能正确认识世界  B、 物质是可以通过感觉感知的  C、 人可以透过现象揭示本质  D、 感性认识可以上升为理性认识  ,正确答案： A
291,唯物主义认识论都坚持（  ）,A、 唯理论  B、 经验论  C、 先验论  D、 反映论  ,正确答案： D
292,“人的认识是主体对客体的直观反映。”这种观点属于（  ）,A、辩证唯物主义认识论 B、客观唯心主义认识论 C、主观唯心主义认识论 D、形而上学唯物主义认识论 ,正确答案： D
293,“从物到感觉和思想”与“从思想和感觉到物”的对立，属于（  ）,A、辩证法和形而上学的对立 B、经验论和唯理论的对立 C、能动革命的反映论和直观被动的反映论的对立 D、唯物主义反映论和唯心主义先验论的对立 ,正确答案： D
294,下列选项中，正确表述认识客体的含义的是（  ）,A、 认识的客体是主体创造出来的对象  B、 认识的客体是外部自然界  C、 认识的客体是客观存在的事物  D、 认识的客体是主体实践和认识的对象  ,正确答案： D
295,认识的主体和客体之间的最基本的关系是（  ）,A、改造与被改造的实践关系 B、反映与被反映的认识关系 C、相互依存的关系 D、相互作用的关系 ,正确答案： A
296,认识的本质是（  ）,A、 主体对客体的加工  B、 主体对客体的改造  C、 主体对客体的能动反映  D、 主体对客体的作用  ,正确答案： C
297,中国古代哲学家荀子说：“天行有常，不为尧存，不为桀亡。”这是一种（ ）,A、 宿命论观点  B、 唯意志论观点  C、 机械唯物论观点  D、 朴素唯物论观点  ,正确答案： D
298,在马克思主义哲学产生以前不曾存在（ ）,A、 唯物主义和唯心主义的斗争  B、 唯物史观和唯心史观的斗争  C、 辩证法和形而上学的斗争  D、 可知论和不可知论的斗争  ,正确答案： B
299,“人为自然立法”的观点属于（ ）,A、 宿命论  B、 主观唯心主义  C、 机械唯物主义  D、 客观唯心主义  ,正确答案： B
300,“沉舟侧辞千帆过，病树前头万木春。”“芳林新叶催陈叶，流水前波让后波。”这两句诗包含的哲学道理是（）,A、 矛盾是事物发展的动力  B、 事物是本质和现象的统一  C、 事物的发展是量变和质变的统一  D、 新事物代替旧事物是事物发展的总趋势  ,正确答案： D
301,“坐地日行八万里，巡天遥看一千河”，这一著名诗句包含的哲理是（ ）,A、 物质运动的客观性和时空的主观性的统一  B、 物质运动无限性和有限性的统一  C、 时空的无限性和有限性的统一  D、 运动的绝对性和静止的相对性的统一  ,正确答案： D
302,古代朴素唯物主义把世界的本原归结为（ ）,A、客观存在的各种物体 B、宇宙中存在的一切现象 C、物质的具体形态和结构 D、某种具体的“原初物质” ,正确答案： D
303,哲学上的一元论就是承认（ ）,A、 世界是物质  B、 世界在本质上是精神  C、 世界是发展的  D、 世界的本原只有一个  ,正确答案： D
304,马克思说：人在“劳动过程结束是得到的结果，在这个过程开始时就已经在劳动者的表象中存在着，即已经观念地存在着”。这是说意识活动的（）,A、创造性 B、目的性和计划性 C、指导实践改造客观世界的作用 D、指导、控制人的行为和生理活动的作用 ,正确答案： B
305,“巧妇难为无米之炊”，这说明（   ）,A、 人的能动作用是受客观条件制约的  B、 必须发挥人的主观能动性  C、 物质不是依人的意志为转移的客观存在  D、 人不能创造和消灭规律  ,正确答案： A
306,中国古代哲学家公孙龙“白马非马”之说的错误在于割裂了（ ）,A、内因和外因的关系 B、矛盾统一性和斗争性的关系 C、矛盾主要方面和次要方面的关系 D、矛盾的普遍性和特殊性的关系 ,正确答案： D
307,下列观点属于主观唯心主义的是（ ）,A、 心外无物，心外无理  B、 理在气中，理随事变  C、 富贵在天，死生由命  D、 理在事先，事随理变  ,正确答案： A
308,下列属于客观唯心主义的是（ ）,A、 存在就是被感知  B、 物是感觉的复合  C、 意识是万物的本原  D、 理在事先  ,正确答案： D
309,“存在就是被感知”是（ ）,A、 机械唯物主义观点  B、 客观唯物主义观点  C、 朴素唯物主义观点  D、 主观唯心主义观点  ,正确答案： D
310,广大农民在致富奔小康的过程中深切体会到：“要富口袋，先富脑袋”。这一说法在哲学上的含义是(),A、精神是第一性的，物质是第二性 B、精神的力量可以变成物质的力量 C、精神的力量可以代替物质的力量 D、先有精神，后有物质 ,正确答案： B
311,古代朴素唯物主义把世界的本原归根结为（ ）,A、绝对观念 B、客观实在 C、理念世界 D、“原初”物质 ，比如水或火 ,正确答案： D
312,哲学的基本问题是（ ）,A、 社会和自然的关系问题  B、 思维与存在的关系问题  C、 政治和经济的关系问题  D、 实践和理论的关系问题  ,正确答案： B
313,哲学所研究的一般规律，适用于（ ）,A、 客观物质世界的某些领域  B、 客观物质世界的某一领域  C、 客观物质世界的一切领域  D、 社会的经济和政治领域  ,正确答案： C
314,马克思主义认为，哲学是（ ）,A、 人们自发形成的世界观  B、 理论化、系统化的世界观  C、 科学的世界观  D、 无产阶级的世界观  ,正确答案： B
315,肯定思维和存在有同一性，这是（ ）,A、 辩证法的观点  B、 形而上学的观点  C、 唯心主义的观点  D、 可知论的观点  ,正确答案： D
316,唯心主义的基本形式是（ ）,A、 客观唯心主义与主观唯心主义  B、 一元论唯心主义与二元论唯心主义  C、 经验论唯心主义与为理论唯心主义  D、 辩证唯心主义与形而上学唯心主义  ,正确答案： A
317,实践活动的三项基本要素是,A、实践能力 B、实践主体 C、实践中介 D、实践客体 ,正确答案： BCD
318,下列各项属于哲学基本问题内容的有（ ）,A、 思维与存在何者第一性  B、 思维能否产生理论  C、 思维与存在是否有同一性  D、 思维能否正确地反映存在  E、 思维能否反作用于存在  ,正确答案： ACD
319,以下各项属于主观唯心主义观点的有（     ）,A、 存在就是被感知  B、 物是观念的复合  C、 理在事先  D、 心外无事，心外无理  E、 吾心即宇宙  ,正确答案： ABDE
320,以下各项属于主观唯心主义观点的有（ ）,A、存在就是被感知 B、物是观念的复合 C、理在事先 D、心外无事，心外无理 ,正确答案： ABD
321,某山村小镇自20世纪70年代发现矾矿以来，办了三个矾矿厂。由于没有严格的环境保护措施，每天排放大量矿烟，致使村民中大多数人患有呼吸道疾病和皮肤病。这一做法从哲学上看违背了（）,A、事物普遍联系的原理 B、事物联系复杂多样性的原理 C、事物运动发展的原理 D、事物的普遍性和特殊性关系的原理 ,正确答案： AB
322,下列观点属于客观唯心主义的有（ ）,A、事物是理念的影子 B、“理在事先” C、世界是“绝对观念”的外化 D、“未有天地万物，已有天地万物之理” ,正确答案： ABCD
323,唯物主义的发展经历了以下几种形态（ ）,A、古代朴素的唯物主义 B、自然科学的唯物主义 C、近代形而上学唯物主义 D、辩证唯物主义 ,正确答案： ACD
324,近代形而上学唯物主义的严重缺陷有（ ）,A、 否认物质对意识的决定作用  B、 用机械力学的观点解释一切现象  C、 不能把世界理解为处于运动变化中的过程  D、 不能把唯物主义观点贯彻到社会历史领域  E、 否认世界的可知性  ,正确答案： BCD
325,哲学上的二元论（ ）,A、 既是唯物论，又是唯心论  B、 最终必然导向唯心论  C、 本质上属于唯物论  D、 不能把自己的主张坚持到底  E、 是超越唯物论和唯心论的基本派别  ,正确答案： BD
326,下列选项中，属于唯物主义历史形态的有（ ）,A、 朴素唯物主义  B、 庸俗唯物主义  C、 形而上学唯物主义  D、 辩证唯物主义  E、 自然唯物主义  ,正确答案： ACD
327,近代机械唯物主义的严重缺陷是（ ）,A、 否认世界可知性  B、 机械性  C、 否认自然规律客观性  D、 形而上学性  E、 不彻底性  ,正确答案： BDE
328,主观唯心主义认为，世界的本原是（ ）,A、人的主观意识 B、人的主观感觉 C、人的心 D、绝对精神; ,正确答案： ABC
329,现代西方哲学从思想倾向上可分为两大思潮，它们分别是,A、 主观唯心主义  B、 客观唯心主义  C、 人本主义  D、 科学主义  E、 非理性主义  ,正确答案： CD
330,下列各项属于马克思主义哲学实现的革命变革的表现的有,A、 提出阶级斗争的观点  B、 确立了科学实践观  C、 实现了唯物论和认识论的结合  D、 实现了唯物论和辩证法的结合  E、 实现了唯物主义的自然观与唯物主义的历史观的结合  ,正确答案： BDE
331,马克思主义哲学的产生是人类认识史上的伟大变革，因为它,A、 结束了“科学之科学”的哲学时代  B、 实现了唯物主义和辩证法的统一  C、 建立了绝对真理的理论体系  D、 使哲学发展到顶峰  E、 建立了唯物史观的理论体系  ,正确答案： ABE
332,当今科技发展的新成果，对马克思主义哲学产生的主要影响有,A、 证实、充实和发展了马克思主义哲学  B、 使马克思主义哲学越来越不适应现时代  C、 深化和拓展了马克思主义哲学宇宙观  D、 否证了马克思主义哲学的基本原理  E、 马克思主义哲学未发生任何变化  ,正确答案： AC
333,下列哲学流派属于现代人本主义思潮的有,A、唯意志主义 B、实证主义 C、马赫主义 D、逻辑实证主义 E、存在主义 ,正确答案： AE
334,马克思列宁主义同中国实际相结合出现的三大理论成果分别是,A、中国革命的战略和策略 B、中国共产党建党学说 C、习近平新时代中国特色社会主义理论 D、毛泽东思想 E、邓小平理论 ,正确答案： CDE
335,哲学与具体科学的关系是,A、 绝对真理与相对真理的关系  B、 思维与存在的关系  C、 认识世界与改造世界的关系  D、 指导与被指导的关系  E、 一般与个别的关系  ,正确答案： DE
336,马克思主义哲学对待唯心主义的态度应该是,A、 揭露其错误的本质  B、 揭示其产生的根源  C、 全盘抛弃  D、 批判的吸取其合理的因素  E、 与其融为一体  ,正确答案： ABD
337,马克思主义哲学的科学性主要在于它,A、 是人类优秀文化成果的总汇  B、 是以实践为基础的唯物论和辩证法的统一  C、 是唯物主义的自然观和唯物主义的历史观的统一  D、 是关于自然、社会和思维发展的最一般规律的科学  E、 是高居于具体科学之上的“科学之科学”  ,正确答案： BCD
338,马克思主义哲学所讲的静止是指（  ）,A、 运动的一种特殊形式  B、 绝对不动  C、 排斥运动  D、 事物处于量变状态  E、 事物在特定参考系中未发生位置变动  ,正确答案： ADE
339,把感觉经验当成第一性的东西，实质上是（  ）,A、唯物主义观点 B、唯心主义先验论观点 C、朴素唯物主义观点 D、主观唯心主义观点 ,正确答案： BD
340,物质和运动的关系是（  ）,A、运动是物质的固有属性 B、物质是运动的承担者 C、运动是物质的存在方式 D、物质不一定都在运动 ,正确答案： ABC
341,社会的物质性体现在（  ）,A、劳动是社会产生和存在的决定性因素 B、在社会中不存在精神的现象和活动 C、物质资料的生产是社会历史的前提 D、全部社会生活在本质上是实践的 E、社会生活中不存在物质关系以外的其他关系 ,正确答案： ACD
342,意识的能动作用表现在（  ）,A、反映客观世界 B、决定物质世界 C、通过实践改造客观世界 D、创造理论体系 ,正确答案： ACD
343,意识的本质是（  ）,A、人脑的分泌物 B、对物质世界的反映 C、人脑的机能 D、观念的系统 ,正确答案： BC
344,下列活动属于人所独具的意识活动的有（  ）,A、三思而后行 B、饥不择食 C、眉头一皱计上心头 D、趋利避害的本能 E、科学预见未来 ,正确答案： ACE
345,物体的相对静止是（  ）,A、 物质分化的根本条件  B、 生命的根本条件  C、 物体存在与否的根本条件  D、 正确理解事物多样性的条件  E、 正确理解绝对运动的条件  ,正确答案： ADE
346,意识反作用于物质需要具备的条件是指（  ）,A、意识正确反映物质 B、意识被群众掌握 C、具备必要的物质手段 D、是否遵循物质决定意识的原则 E、社会实践 ,正确答案： BCE
347,客观规律性和主观能动性的关系是（  ）,A、 充分发挥主观能动性，才能认识和利用客观规律  B、 客观规律不能违背，所以限制了主观能动性的发挥  C、 正确发挥主观能动性，必须遵循客观规律  D、 越是尊重客观规律，就越能发挥主观能动性  E、 越是强调尊重客观规律，就越能发挥主观能动性  ,正确答案： ACD
348,列宁的物质定义的理论意义在于,A、坚持了唯物主义一元论 B、反对了唯心主义和二元论 C、坚持了唯物主义可知论 D、克服了形而上学唯物主义物质观的缺陷 ,正确答案： ABCD
349,按照辩证唯物主义的物质观，下列选项中属于物质的有（  ）,A、山脉河流 B、社会生产关系 C、引力场 D、城市建设规划 ,正确答案： ABC
